,observation,fips,year,price,pop,pop16,cpi,ndi,sales,pimin,state,adjusted_price,adjusted_min_price,adjusted_ndi,ndi_by_100
156,157,8,1969,32.2,540.0,362.8,36.7,3287.3196655,175.5,30.7,CO,2.10779269755,2.00960359673,21518.5974703,215.185974703
157,158,8,1970,39.0,584.0,378.2,38.8,3495.160642,155.0,32.6,CO,2.41474329897,2.01847773196,21640.8095874,216.408095874
158,159,8,1971,41.3,563.0,392.6,40.5,3730.6501888,161.1,34.2,CO,2.44981402469,2.02865955556,22129.2957718,221.292957718
159,160,8,1972,44.7,570.0,403.1,41.8,4015.7164823,156.3,34.3,CO,2.56903090909,1.97131454545,23079.4178192,230.794178192
160,161,8,1973,44.0,573.0,409.9,44.4,4438.0722282,154.7,35.3,CO,2.38071711712,1.90998441441,24013.1693652,240.131693652
161,162,8,1974,44.2,576.0,416.6,49.3,4755.5540869,151.3,35.8,CO,2.15384,1.74451294118,23173.535327,231.73535327
162,163,8,1975,45.9,579.0,424.3,53.8,5112.1253035,147.6,39.5,CO,2.04959710037,1.76381449814,22827.4448775,228.274448775
163,164,8,1976,50.1,582.0,431.0,56.9,5440.0945508,153.0,46.1,CO,2.11525898067,1.94637602812,22968.480747,229.68480747
164,165,8,1977,51.7,582.0,434.8,60.6,5850.0561101,153.3,49.2,CO,2.04953815182,1.95043089109,23191.3214466,231.913214466
165,166,8,1978,58.7,584.0,440.6,65.2,6407.7945104,155.5,52.1,CO,2.16286092025,1.91967723926,23610.1675153,236.101675153
166,167,8,1979,60.0,582.0,441.5,72.6,7017.0164554,150.2,56.2,CO,1.9854214876,1.85967812672,23219.558749,232.19558749
167,168,8,1980,62.7,595.0,454.0,82.4,7773.0618425,150.5,58.1,CO,1.82800936893,1.69389703883,22662.2486019,226.622486019
168,169,8,1981,66.0,598.0,458.8,90.9,8492.8780685,152.6,62.8,CO,1.74428778878,1.65971625963,22445.4901613,224.454901613
169,170,8,1982,74.1,602.0,463.6,96.5,9213.6476936,154.1,65.4,CO,1.84471374093,1.6281279171,22937.3043246,229.373043246
170,171,8,1983,82.0,606.0,469.4,99.6,10081.240761,149.6,74.9,CO,1.97784658635,1.80659401606,24316.0336894,243.160336894
171,172,8,1984,91.1,613.0,476.1,103.9,10806.777381,144.0,84.2,CO,2.10640034649,1.94685959577,24987.2663224,249.872663224
172,173,8,1985,98.7,622.0,481.8,107.6,11563.776167,144.5,90.1,CO,2.20365178439,2.01164159851,25818.1722236,258.181722236
173,174,8,1986,105.2,633.0,492.4,109.6,12062.403831,142.4,93.3,CO,2.30591489051,2.04507470803,26439.9967769,264.399967769
174,175,8,1987,111.4,644.0,502.0,113.6,12960.505665,141.0,100.3,CO,2.35583542254,2.12109778169,27408.2749906,274.082749906
175,176,8,1988,119.3,660.0,513.0,118.3,14137.0,137.1,109.2,CO,2.42266735418,2.21756307692,28708.5066103,287.085066103
176,177,8,1989,124.0,673.0,522.0,124.0,14949.0,131.7,120.2,CO,2.40236,2.32873929032,28961.9997097,289.619997097
177,178,8,1990,140.0,681.2,528.3,130.7,16435.0,127.2,131.5,CO,2.5733006886,2.41706457536,30208.7120122,302.087120122
178,179,8,1991,143.2,695.5,537.5,136.2,16732.0,118.8,141.6,CO,2.52582930984,2.4976077533,29512.692746,295.12692746
179,180,8,1992,174.7,704.7,543.6,140.3,18300.0,120.0,159.1,CO,2.99139196009,2.7242728154,31335.1304348,313.351304348
180,181,9,1963,23.4,792.0,563.1,30.6,2733.226538,246.4,24.7,CT,1.83709882353,1.93915986928,21458.1506726,214.581506726
181,182,9,1964,23.9,795.0,559.3,31.0,2894.0045696,235.3,25.2,CT,1.85214206452,1.95288619355,22427.2284446,224.272284446
182,183,9,1965,24.1,802.0,560.2,31.5,3068.4434798,246.5,25.1,CT,1.83799606349,1.91426146032,23401.6059623,234.016059623
183,184,9,1966,24.1,806.0,559.3,32.4,3215.5606329,295.9,24.7,CT,1.78694061728,1.83142876543,23842.389636,238.42389636
184,185,9,1967,26.6,808.0,559.3,33.4,3479.3206717,249.8,26.3,CT,1.91325676647,1.89167868263,25025.6910445,250.256910445
185,186,9,1968,26.7,802.0,554.4,34.8,3752.5382418,224.3,27.1,CT,1.84319,1.87080333333,25905.0223292,259.050223292
186,187,9,1969,27.2,798.0,561.2,36.7,3907.0112526,212.2,28.3,CT,1.78049569482,1.85250103542,25575.0614518,255.750614518
187,188,9,1970,28.5,756.0,563.1,38.8,4202.2963957,200.4,28.8,CT,1.76462010309,1.78319505155,26019.1463123,260.191463123
188,189,9,1971,32.6,750.0,560.2,40.5,4600.563546,213.0,30.2,CT,1.93375150617,1.7913894321,27289.4070133,272.894070133
189,190,9,1972,33.7,744.0,558.3,41.8,4964.1530816,220.6,29.9,CT,1.93683090909,1.71843454545,28530.3416199,285.303416199
190,191,9,1973,34.5,734.0,553.4,44.4,5310.9292283,209.4,30.1,CT,1.86669864865,1.62862693694,28735.9548218,287.359548218
191,192,9,1974,36.0,721.0,547.6,49.3,5894.1436568,182.7,31.3,CT,1.75425882353,1.52523058824,28721.8153253,287.218153253
192,193,9,1975,39.4,711.0,543.7,53.8,6587.6959502,176.5,33.6,CT,1.75934914498,1.50035866171,29416.3889274,294.163889274
193,194,9,1976,47.8,697.0,536.9,56.9,7003.8273262,167.7,37.9,CT,2.01815128295,1.6001659754,29570.6759497,295.706759497
194,195,9,1977,51.9,683.0,529.2,60.6,7770.9381962,136.7,38.4,CT,2.05746673267,1.52228752475,30806.2559159,308.062559159
195,196,9,1978,59.8,671.0,523.3,65.2,8369.9151768,130.3,42.8,CT,2.20339153374,1.57700932515,30839.7997303,308.397997303
196,197,9,1979,59.3,656.0,514.6,72.6,9306.2107728,128.5,45.8,CT,1.96225823691,1.5155384022,30794.5847275,307.945847275
197,198,9,1980,65.6,638.0,518.5,82.4,10605.045068,129.7,48.5,CT,1.9125584466,1.41401043689,30918.8544534,309.188544534
198,199,9,1981,69.0,631.0,512.7,90.9,11612.797567,131.9,51.8,CT,1.82357359736,1.36900162816,30691.0014995,306.910014995
199,200,9,1982,74.8,631.0,512.7,96.5,12167.639401,132.0,56.4,CT,1.86214018653,1.40407361658,30291.2437216,302.912437216
200,201,9,1983,86.3,623.0,505.9,99.6,13222.679557,124.5,68.8,CT,2.08156293173,1.6594615261,31893.2092977,318.932092977
201,202,9,1984,98.5,623.0,505.9,103.9,14479.480379,124.6,76.0,CT,2.27750202117,1.75726044273,33479.2343439,334.792343439
202,203,9,1985,100.4,623.0,502.9,107.6,15439.945222,122.1,83.6,CT,2.24160728625,1.86651762082,34472.4040925,344.724040925
203,204,9,1986,109.3,625.0,502.9,109.6,15675.332667,117.2,91.3,CT,2.39578419708,2.0012360219,34359.2994397,343.592994397
204,205,9,1987,112.5,622.0,501.0,113.6,16632.644999,113.0,94.6,CT,2.37909771127,2.00055683099,35173.9445773,351.739445773
205,206,9,1988,119.0,617.0,494.0,118.3,18397.0,105.4,102.1,CT,2.41657514793,2.07338086221,37359.4394928,373.594394928
206,207,9,1989,135.9,604.0,478.0,124.0,19937.0,101.1,109.4,CT,2.63290906452,2.11950148387,38625.6865484,386.256865484
207,208,9,1990,145.7,587.5,465.0,130.7,19351.0,84.1,128.6,CT,2.67807078806,2.36376048967,35568.5297322,355.685297322
208,209,9,1991,143.3,578.8,452.0,136.2,20231.0,82.2,136.5,CT,2.52759315712,2.40765154185,35684.3943906,356.843943906
209,210,9,1992,187.4,570.1,447.4,140.3,22101.0,82.6,157.9,CT,3.2088543407,2.70372518888,37843.5911333,378.435911333
210,211,10,1963,26.3,5532.0,3996.8,30.6,1980.6867784,137.5,26.9,DE,2.06477346405,2.11187856209,15550.0741469,155.500741469
211,212,10,1964,29.7,5654.0,4087.2,31.0,2122.916946,125.5,27.5,DE,2.30161587097,2.13112580645,16451.6475948,164.516475948
212,213,10,1965,29.7,5796.0,4197.7,31.5,2261.9864432,131.1,29.8,DE,2.26508228571,2.2727088254,17251.1293704,172.511293704
213,214,10,1966,30.0,5914.0,4292.1,32.4,2430.5555307,131.3,30.6,DE,2.22440740741,2.26889555556,18021.8190887,180.218190887
214,215,10,1967,30.2,6035.0,4401.6,33.4,2599.1246182,132.8,31.5,DE,2.17219377246,2.2656988024,18694.7096341,186.947096341
215,216,10,1968,32.0,6210.0,4559.3,34.8,2861.4602607,129.3,33.3,DE,2.20906666667,2.29881,19753.6139997,197.536139997
216,217,10,1969,41.3,6354.0,4733.1,36.7,3131.1708007,121.2,34.2,DE,2.70347324251,2.23871149864,20496.4563618,204.964563618
217,218,10,1970,43.5,6789.0,5188.1,38.8,3444.0771695,123.6,34.3,DE,2.69336752577,2.1237357732,21324.5186312,213.245186312
218,219,10,1971,43.8,7101.0,5471.4,40.5,3693.7701304,123.0,35.8,DE,2.59810785185,2.12356760494,21910.5323715,219.105323715
219,220,10,1972,46.8,7407.0,5754.6,41.8,3978.2304655,126.0,40.9,DE,2.68972363636,2.35063454545,22863.9754572,228.639754572
220,221,10,1973,47.4,7757.0,6073.1,44.4,4483.9377281,132.6,42.1,DE,2.56468162162,2.27791342342,24261.3347759,242.613347759
221,222,10,1974,48.1,8087.0,6387.5,49.3,4813.7010056,136.0,42.4,DE,2.34388470588,2.06612705882,23456.8818414,234.568818414
222,223,10,1975,51.7,8253.0,6572.3,53.8,5129.7680447,131.9,44.5,DE,2.30858758364,1.98708215613,22906.2259477,229.062259477
223,224,10,1976,55.9,8348.0,6705.9,56.9,5436.3530726,130.3,47.9,DE,2.36013926186,2.02237335677,22952.6839499,229.526839499
224,225,10,1977,55.9,8481.0,6862.6,60.6,5965.2385847,133.1,49.5,DE,2.21603834983,1.96232376238,23647.9382283,236.479382283
225,226,10,1978,66.3,8661.0,7051.4,65.2,6677.4429795,133.4,54.7,DE,2.4428906135,2.01547687117,24603.7145954,246.037145954
226,227,10,1979,66.5,8860.0,7251.3,72.6,7425.4683054,135.4,56.6,DE,2.20050881543,1.87291426997,24571.1405484,245.711405484
227,228,10,1980,69.8,9749.0,8052.9,82.4,8227.2250279,139.0,59.3,DE,2.03500883495,1.72888286408,23986.3547549,239.863547549
228,229,10,1981,72.8,10183.0,8426.6,90.9,9132.2303166,132.8,62.6,DE,1.92400228823,1.65443053905,24135.2088266,241.352088266
229,230,10,1982,79.0,10416.0,8626.4,96.5,9545.224581,131.8,67.8,DE,1.9666988601,1.68787573057,23762.7624087,237.627624087
230,231,10,1983,90.5,10680.0,8855.5,99.6,10352.249088,127.6,78.9,DE,2.18286726908,1.90307433735,24969.7079509,249.697079509
231,232,10,1984,99.3,10976.0,9113.6,103.9,11091.845959,124.7,86.8,DE,2.29599949952,2.00697640038,25646.3975535,256.463975535
232,233,10,1985,104.2,11053.0,9113.6,107.6,11764.015196,124.2,90.7,DE,2.32644899628,2.02503765799,26265.241214,262.65241214
233,234,10,1986,113.8,11373.0,9384.8,109.6,12378.238808,124.7,100.1,DE,2.49442124088,2.19412624088,27132.2862982,271.322862982
234,235,10,1987,120.8,12023.0,9649.0,113.6,13193.691769,125.1,103.9,DE,2.55462225352,2.19722890845,27901.4061252,279.014061252
235,236,10,1988,130.5,12335.0,9870.0,118.3,14144.0,119.5,109.2,DE,2.65010972105,2.21756307692,28722.7217582,287.227217582
236,237,10,1989,139.8,12671.0,10113.0,124.0,15049.0,113.8,122.3,DE,2.70846716129,2.36942441935,29155.7384194,291.557384194
237,238,10,1990,150.1,12971.8,10353.1,130.7,15859.0,110.1,132.3,DE,2.75894595256,2.43176915073,29149.9825861,291.499825861
238,239,10,1991,174.8,13311.7,10561.6,136.2,16254.0,98.2,138.2,DE,3.0832050514,2.43763694567,28669.5737445,286.695737445
239,240,10,1992,187.0,13523.2,10664.3,140.3,17246.0,95.9,159.5,DE,3.20200513186,2.73112202423,29530.3639059,295.303639059
240,241,11,1963,26.9,4206.0,2768.4,30.6,1743.9394545,108.3,26.1,DC,2.11187856209,2.04907176471,13691.4064964,136.914064964
241,242,11,1964,27.5,4304.0,2840.0,31.0,1865.9221787,107.6,26.5,DC,2.13112580645,2.05363032258,14460.0542104,144.600542104
242,243,11,1965,30.9,4391.0,2903.9,31.5,2024.0862193,103.5,26.2,DC,2.3566007619,1.99815339683,15436.7738724,154.367738724
243,244,11,1966,30.6,4462.0,2965.0,32.4,2193.6215308,104.8,26.2,DC,2.26889555556,1.9426491358,16265.0266072,162.650266072
244,245,11,1967,31.5,4490.0,2996.5,33.4,2366.2580981,106.7,27.3,DC,2.2656988024,1.96360562874,17019.7718699,170.197718699
245,246,11,1968,33.3,4579.0,3077.6,34.8,2530.6246501,105.0,29.5,DC,2.29881,2.03648333333,17469.7455012,174.697455012
246,247,11,1969,34.2,4641.0,3113.9,36.7,2730.1387667,108.6,29.0,DC,2.23871149864,1.8983226158,17871.3247073,178.713247073
247,248,11,1970,34.3,4589.0,3159.7,38.8,2955.4966808,109.9,32.5,DC,2.1237357732,2.01228608247,18299.3995002,182.993995002
248,249,11,1971,35.8,4679.0,3243.7,40.5,3189.1246101,115.7,34.3,DC,2.12356760494,2.03459130864,18917.0997489,189.170997489
249,250,11,1972,40.9,4751.0,3314.3,41.8,3467.2038711,117.0,34.1,DC,2.35063454545,1.95982,19926.9662483,199.269662483
250,251,11,1973,42.4,4826.0,3392.5,44.4,3885.8733904,119.8,33.5,DC,2.29414558559,1.81259144144,21025.3756715,210.253756715
251,252,11,1974,42.4,4888.0,3463.1,49.3,4188.762697,123.7,35.2,DC,2.06612705882,1.71527529412,20411.5942247,204.115942247
252,253,11,1975,44.5,4926.0,3519.4,53.8,4493.7195073,122.9,38.1,DC,1.98708215613,1.7012995539,20066.0446014,200.660446014
253,254,11,1976,47.9,4968.0,3581.5,56.9,4872.0727026,125.9,41.0,DC,2.02237335677,1.73105026362,20570.2505761,205.702505761
254,255,11,1977,49.5,5027.0,3652.1,60.6,5279.370951,127.9,42.2,DC,1.96232376238,1.67293056106,20928.9597324,209.289597324
